step,start_s,end_s,action,label,genie3_operator_instruction,target_visible_after,distance_after,yaw_after,lateral_after
0,0.0,2.0,HOLD,hold view,pause and keep the current view,True,0.0,0.0,0.0
1,2.0,4.0,HOLD,hold view,pause and keep the current view,True,0.0,0.0,0.0
2,4.0,6.0,HOLD,hold view,pause and keep the current view,True,0.0,0.0,0.0
3,6.0,8.0,LEFT,strafe left,press/hold left,True,0.0,0.0,-0.42
4,8.0,10.0,LEFT,strafe left,press/hold left,True,0.0,0.0,-0.84
5,10.0,12.0,LEFT,strafe left,press/hold left,False,0.0,0.0,-1.26
6,12.0,14.0,RIGHT,strafe right,press/hold right,True,0.0,0.0,-0.84
7,14.0,16.0,HOLD,hold view,pause and keep the current view,True,0.0,0.0,-0.84
8,16.0,18.0,HOLD,hold view,pause and keep the current view,True,0.0,0.0,-0.84
9,18.0,20.0,YAW_R,yaw right,drag/look right,False,0.0,45.0,-0.84
10,20.0,22.0,HOLD,hold view,pause and keep the current view,False,0.0,45.0,-0.84
11,22.0,24.0,HOLD,hold view,pause and keep the current view,False,0.0,45.0,-0.84
12,24.0,26.0,HOLD,hold view,pause and keep the current view,False,0.0,45.0,-0.84
13,26.0,28.0,HOLD,hold view,pause and keep the current view,False,0.0,45.0,-0.84
14,28.0,30.0,YAW_L,yaw left,drag/look left,True,0.0,0.0,-0.84
15,30.0,32.0,LEFT,strafe left,press/hold left,False,0.0,0.0,-1.26
16,32.0,34.0,LEFT,strafe left,press/hold left,False,0.0,0.0,-1.68
17,34.0,36.0,LEFT,strafe left,press/hold left,False,0.0,0.0,-2.1
18,36.0,38.0,LEFT,strafe left,press/hold left,False,0.0,0.0,-2.4
19,38.0,40.0,YAW_R,yaw right,drag/look right,False,0.0,45.0,-2.4
20,40.0,42.0,HOLD,hold view,pause and keep the current view,False,0.0,45.0,-2.4
21,42.0,44.0,LEFT,strafe left,press/hold left,False,0.0,45.0,-2.4
22,44.0,46.0,HOLD,hold view,pause and keep the current view,False,0.0,45.0,-2.4
23,46.0,48.0,HOLD,hold view,pause and keep the current view,False,0.0,45.0,-2.4
24,48.0,50.0,HOLD,hold view,pause and keep the current view,False,0.0,45.0,-2.4
25,50.0,52.0,HOLD,hold view,pause and keep the current view,False,0.0,45.0,-2.4
26,52.0,54.0,HOLD,hold view,pause and keep the current view,False,0.0,45.0,-2.4
27,54.0,56.0,YAW_L,yaw left,drag/look left,False,0.0,0.0,-2.4
28,56.0,58.0,RIGHT,strafe right,press/hold right,False,0.0,0.0,-1.98
29,58.0,60.0,RIGHT,strafe right,press/hold right,False,0.0,0.0,-1.56
30,60.0,62.0,RIGHT,strafe right,press/hold right,True,0.0,0.0,-1.14
31,62.0,64.0,RIGHT,strafe right,press/hold right,True,0.0,0.0,-0.72
32,64.0,66.0,HOLD,hold view,pause and keep the current view,True,0.0,0.0,-0.72
33,66.0,68.0,HOLD,hold view,pause and keep the current view,True,0.0,0.0,-0.72
34,68.0,70.0,HOLD,hold view,pause and keep the current view,True,0.0,0.0,-0.72
35,70.0,72.0,HOLD,hold view,pause and keep the current view,True,0.0,0.0,-0.72
