protocol_id,model_name,steps_evaluated,hold_steps,move_steps,motion_match_rate,hold_low_motion_rate,move_high_motion_rate,median_hold_mad,median_move_mad,motion_separation,motion_threshold,video_hash,video_path,audit_note
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,35,21,14,0.886,0.81,1.0,1.205,32.081,30.877,16.333,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4,visual_motion_proxy_only
huaiqiu_mcts_02_multi_glance_yaw_left_return,matrix_game3,35,21,14,0.886,0.81,1.0,1.339,34.255,32.916,16.333,0ff8538d21949bd042b3444423f9e428,runs/huaiqiu_mcts_02_multi_glance_yaw_left_return/matrix_game3/video.mp4,visual_motion_proxy_only
huaiqiu_mcts_03_retreat_multi_glance_right_return,matrix_game3,35,20,15,0.886,0.8,1.0,1.046,29.417,28.37,16.333,5ea15324044a446d7c75f394f786c0f9,runs/huaiqiu_mcts_03_retreat_multi_glance_right_return/matrix_game3/video.mp4,visual_motion_proxy_only
huaiqiu_mcts_04_retreat_multi_glance_left_return,matrix_game3,35,20,15,0.886,0.8,1.0,1.185,35.14,33.955,16.333,c65332e218032381ce398118e9edc5ec,runs/huaiqiu_mcts_04_retreat_multi_glance_left_return/matrix_game3/video.mp4,visual_motion_proxy_only
huaiqiu_mcts_05_lateral_left_multi_confuser_return,matrix_game3,35,18,17,0.829,0.722,0.941,1.446,26.145,24.698,16.333,c48be380bfd29aeea445389e3e10af4e,runs/huaiqiu_mcts_05_lateral_left_multi_confuser_return/matrix_game3/video.mp4,visual_motion_proxy_only
huaiqiu_mcts_06_lateral_right_multi_confuser_return,matrix_game3,35,19,16,0.886,0.789,1.0,1.256,31.149,29.893,16.333,83bf2220c981b9454ebe58dcef10db6e,runs/huaiqiu_mcts_06_lateral_right_multi_confuser_return/matrix_game3/video.mp4,visual_motion_proxy_only
huaiqiu_mcts_07_courtyard_confuser_loop_return,matrix_game3,35,21,14,0.886,0.81,1.0,1.281,31.457,30.176,16.333,99cacbc0ed8be0925651bd1f55928e89,runs/huaiqiu_mcts_07_courtyard_confuser_loop_return/matrix_game3/video.mp4,visual_motion_proxy_only
huaiqiu_mcts_08_interior_peek_multi_return,matrix_game3,35,20,15,0.829,0.8,0.867,1.395,32.344,30.95,16.333,f1427a9f48ea1a2cbd38b74ba0b2facf,runs/huaiqiu_mcts_08_interior_peek_multi_return/matrix_game3/video.mp4,visual_motion_proxy_only
huaiqiu_mcts_09_double_revisit_with_wrong_store,matrix_game3,35,18,17,0.857,0.722,1.0,1.327,36.493,35.166,16.333,25b61a124d066babd59f26b6e1d79335,runs/huaiqiu_mcts_09_double_revisit_with_wrong_store/matrix_game3/video.mp4,visual_motion_proxy_only
huaiqiu_mcts_10_hard_long_offscreen_multi_revisit,matrix_game3,35,18,17,0.886,0.778,1.0,1.341,27.599,26.258,16.333,9f0d33ad11c3352bedf90701fd72f52b,runs/huaiqiu_mcts_10_hard_long_offscreen_multi_revisit/matrix_game3/video.mp4,visual_motion_proxy_only
