frames,mouse,key,note
34,U,Q,00.0-02.0s HOLD hold view
34,U,Q,02.0-04.0s HOLD hold view
34,U,Q,04.0-06.0s HOLD hold view
34,U,A,06.0-08.0s LEFT strafe left
34,U,A,08.0-10.0s LEFT strafe left
34,U,A,10.0-12.0s LEFT strafe left
34,U,D,12.0-14.0s RIGHT strafe right
34,U,Q,14.0-16.0s HOLD hold view
34,U,Q,16.0-18.0s HOLD hold view
34,L,Q,18.0-20.0s YAW_R yaw right
34,U,Q,20.0-22.0s HOLD hold view
34,U,Q,22.0-24.0s HOLD hold view
34,U,Q,24.0-26.0s HOLD hold view
34,U,Q,26.0-28.0s HOLD hold view
34,J,Q,28.0-30.0s YAW_L yaw left
34,U,A,30.0-32.0s LEFT strafe left
34,U,A,32.0-34.0s LEFT strafe left
34,U,A,34.0-36.0s LEFT strafe left
34,U,A,36.0-38.0s LEFT strafe left
34,L,Q,38.0-40.0s YAW_R yaw right
34,U,Q,40.0-42.0s HOLD hold view
34,U,A,42.0-44.0s LEFT strafe left
34,U,Q,44.0-46.0s HOLD hold view
34,U,Q,46.0-48.0s HOLD hold view
34,U,Q,48.0-50.0s HOLD hold view
34,U,Q,50.0-52.0s HOLD hold view
34,U,Q,52.0-54.0s HOLD hold view
34,J,Q,54.0-56.0s YAW_L yaw left
34,U,D,56.0-58.0s RIGHT strafe right
34,U,D,58.0-60.0s RIGHT strafe right
34,U,D,60.0-62.0s RIGHT strafe right
34,U,D,62.0-64.0s RIGHT strafe right
34,U,Q,64.0-66.0s HOLD hold view
34,U,Q,66.0-68.0s HOLD hold view
34,U,Q,68.0-70.0s HOLD hold view
34,U,Q,70.0-72.0s HOLD hold view
